,Fecha,TRM,Anio
0,1991-11-27,693.32,1991
1,1991-11-28,693.99,1991
2,1991-11-29,694.7,1991
3,1991-11-30,694.7,1991
4,1991-12-01,643.42,1991
5,1991-12-02,643.42,1991
6,1991-12-03,639.22,1991
7,1991-12-04,635.7,1991
8,1991-12-05,631.51,1991
9,1991-12-06,627.16,1991
10,1991-12-07,638.06,1991
11,1991-12-08,638.06,1991
12,1991-12-09,638.06,1991
13,1991-12-10,622.92,1991
14,1991-12-11,627.46,1991
15,1991-12-12,633.09,1991
16,1991-12-13,632.35,1991
17,1991-12-14,630.91,1991
18,1991-12-15,630.91,1991
19,1991-12-16,630.91,1991
20,1991-12-17,626.23,1991
21,1991-12-18,626.52,1991
22,1991-12-19,633.35,1991
23,1991-12-20,621.71,1991
24,1991-12-21,620.62,1991
25,1991-12-22,620.62,1991
26,1991-12-23,620.62,1991
27,1991-12-24,622.95,1991
28,1991-12-25,622.95,1991
29,1991-12-26,622.95,1991
30,1991-12-27,631.63,1991
31,1991-12-28,632.37,1991
32,1991-12-29,632.37,1991
33,1991-12-30,632.37,1991
34,1991-12-31,632.37,1991
35,1992-01-01,632.37,1992
36,1992-01-02,638.61,1992
37,1992-01-03,632.58,1992
38,1992-01-04,638.07,1992
39,1992-01-05,638.07,1992
40,1992-01-06,638.07,1992
41,1992-01-07,638.07,1992
42,1992-01-08,638.17,1992
43,1992-01-09,638.61,1992
44,1992-01-10,637.86,1992
45,1992-01-11,645.04,1992
46,1992-01-12,645.04,1992
47,1992-01-13,645.04,1992
48,1992-01-14,659.74,1992
49,1992-01-15,657.49,1992
50,1992-01-16,653.45,1992
51,1992-01-17,652.91,1992
52,1992-01-18,645.35,1992
53,1992-01-19,645.35,1992
54,1992-01-20,645.35,1992
55,1992-01-21,645.97,1992
56,1992-01-22,647.04,1992
57,1992-01-23,647.01,1992
58,1992-01-24,647.01,1992
59,1992-01-25,644.83,1992
60,1992-01-26,644.83,1992
61,1992-01-27,644.83,1992
62,1992-01-28,645.53,1992
63,1992-01-29,645.2,1992
64,1992-01-30,644.04,1992
65,1992-01-31,644.27,1992
66,1992-02-01,640.52,1992
67,1992-02-02,640.52,1992
68,1992-02-03,640.52,1992
69,1992-02-04,640.52,1992
70,1992-02-05,638.01,1992
71,1992-02-06,637.65,1992
72,1992-02-07,636.9,1992
73,1992-02-08,635.34,1992
74,1992-02-09,635.34,1992
75,1992-02-10,635.34,1992
76,1992-02-11,634.74,1992
77,1992-02-12,634.59,1992
78,1992-02-13,634.67,1992
79,1992-02-14,635.6,1992
80,1992-02-15,634.74,1992
81,1992-02-16,634.74,1992
82,1992-02-17,634.74,1992
83,1992-02-18,635.66,1992
84,1992-02-19,635.21,1992
85,1992-02-20,634.93,1992
86,1992-02-21,633.31,1992
87,1992-02-22,633.03,1992
88,1992-02-23,633.03,1992
89,1992-02-24,633.03,1992
90,1992-02-25,633.55,1992
91,1992-02-26,633.74,1992
92,1992-02-27,634.06,1992
93,1992-02-28,633.91,1992
94,1992-02-29,636.54,1992
95,1992-03-01,636.54,1992
96,1992-03-02,636.54,1992
97,1992-03-03,640.95,1992
98,1992-03-04,636.05,1992
99,1992-03-05,635.86,1992
100,1992-03-06,636.73,1992
101,1992-03-07,636.22,1992
102,1992-03-08,636.22,1992
103,1992-03-09,636.22,1992
104,1992-03-10,635.88,1992
105,1992-03-11,639.78,1992
106,1992-03-12,639.38,1992
107,1992-03-13,641.29,1992
108,1992-03-14,642.0,1992
109,1992-03-15,642.0,1992
110,1992-03-16,642.0,1992
111,1992-03-17,644.13,1992
112,1992-03-18,643.83,1992
113,1992-03-19,642.59,1992
114,1992-03-20,641.53,1992
115,1992-03-21,640.37,1992
116,1992-03-22,640.37,1992
117,1992-03-23,640.37,1992
118,1992-03-24,640.37,1992
119,1992-03-25,642.0,1992
120,1992-03-26,641.81,1992
121,1992-03-27,641.22,1992
122,1992-03-28,647.24,1992
123,1992-03-29,647.24,1992
124,1992-03-30,647.24,1992
125,1992-03-31,641.59,1992
126,1992-04-01,641.98,1992
127,1992-04-02,645.14,1992
128,1992-04-03,644.77,1992
129,1992-04-04,643.11,1992
130,1992-04-05,643.11,1992
131,1992-04-06,643.11,1992
132,1992-04-07,645.73,1992
133,1992-04-08,643.98,1992
134,1992-04-09,644.61,1992
135,1992-04-10,646.5,1992
136,1992-04-11,647.28,1992
137,1992-04-12,647.28,1992
138,1992-04-13,647.28,1992
139,1992-04-14,649.48,1992
140,1992-04-15,655.66,1992
141,1992-04-16,657.97,1992
142,1992-04-17,657.97,1992
143,1992-04-18,657.97,1992
144,1992-04-19,657.97,1992
145,1992-04-20,657.97,1992
146,1992-04-21,655.32,1992
147,1992-04-22,652.57,1992
148,1992-04-23,651.48,1992
149,1992-04-24,650.24,1992
150,1992-04-25,651.36,1992
