,Fecha,InflacionAnual,Anio
0,1955-07-01,-0.87,1955
1,1955-08-01,-0.01,1955
2,1955-09-01,0.84,1955
3,1955-10-01,0.77,1955
4,1955-11-01,1.44,1955
5,1955-12-01,2.03,1955
6,1956-01-01,2.1,1956
7,1956-02-01,2.57,1956
8,1956-03-01,3.1,1956
9,1956-04-01,3.04,1956
10,1956-05-01,4.25,1956
11,1956-06-01,5.28,1956
12,1956-07-01,6.36,1956
13,1956-08-01,5.76,1956
14,1956-09-01,7.26,1956
15,1956-10-01,8.31,1956
16,1956-11-01,8.83,1956
17,1956-12-01,7.91,1956
18,1957-01-01,9.3,1957
19,1957-02-01,10.3,1957
20,1957-03-01,11.21,1957
21,1957-04-01,12.97,1957
22,1957-05-01,13.58,1957
23,1957-06-01,17.15,1957
24,1957-07-01,19.39,1957
25,1957-08-01,21.43,1957
26,1957-09-01,20.93,1957
27,1957-10-01,21.17,1957
28,1957-11-01,19.84,1957
29,1957-12-01,20.69,1957
30,1958-01-01,19.46,1958
31,1958-02-01,18.05,1958
32,1958-03-01,17.86,1958
33,1958-04-01,17.24,1958
34,1958-05-01,18.06,1958
35,1958-06-01,13.9,1958
36,1958-07-01,10.99,1958
37,1958-08-01,10.47,1958
38,1958-09-01,10.14,1958
39,1958-10-01,8.92,1958
40,1958-11-01,8.54,1958
41,1958-12-01,7.98,1958
42,1959-01-01,9.47,1959
43,1959-02-01,10.34,1959
44,1959-03-01,9.09,1959
45,1959-04-01,8.96,1959
46,1959-05-01,7.62,1959
47,1959-06-01,7.87,1959
48,1959-07-01,8.41,1959
49,1959-08-01,7.78,1959
50,1959-09-01,7.23,1959
51,1959-10-01,7.14,1959
52,1959-11-01,7.42,1959
53,1959-12-01,7.81,1959
54,1960-01-01,6.52,1960
55,1960-02-01,5.24,1960
56,1960-03-01,6.14,1960
57,1960-04-01,5.49,1960
58,1960-05-01,5.52,1960
59,1960-06-01,4.93,1960
60,1960-07-01,4.79,1960
61,1960-08-01,4.96,1960
62,1960-09-01,5.57,1960
63,1960-10-01,6.12,1960
64,1960-11-01,7.13,1960
65,1960-12-01,7.35,1960
66,1961-01-01,7.59,1961
67,1961-02-01,8.36,1961
68,1961-03-01,8.7,1961
69,1961-04-01,9.87,1961
70,1961-05-01,10.23,1961
71,1961-06-01,10.27,1961
72,1961-07-01,10.03,1961
73,1961-08-01,8.4,1961
74,1961-09-01,7.47,1961
75,1961-10-01,6.81,1961
76,1961-11-01,6.13,1961
77,1961-12-01,5.74,1961
78,1962-01-01,5.63,1962
79,1962-02-01,5.29,1962
80,1962-03-01,4.54,1962
81,1962-04-01,3.66,1962
82,1962-05-01,2.63,1962
83,1962-06-01,2.57,1962
84,1962-07-01,3.3,1962
85,1962-08-01,4.55,1962
86,1962-09-01,5.85,1962
87,1962-10-01,6.01,1962
88,1962-11-01,6.15,1962
89,1962-12-01,6.3,1962
90,1963-01-01,9.79,1963
91,1963-02-01,16.34,1963
92,1963-03-01,21.29,1963
93,1963-04-01,25.08,1963
94,1963-05-01,26.52,1963
95,1963-06-01,29.24,1963
96,1963-07-01,28.99,1963
97,1963-08-01,29.28,1963
98,1963-09-01,29.83,1963
99,1963-10-01,31.55,1963
100,1963-11-01,33.44,1963
101,1963-12-01,33.6,1963
102,1964-01-01,30.67,1964
103,1964-02-01,23.88,1964
104,1964-03-01,20.51,1964
105,1964-04-01,18.18,1964
106,1964-05-01,20.43,1964
107,1964-06-01,19.58,1964
108,1964-07-01,17.67,1964
109,1964-08-01,15.63,1964
110,1964-09-01,13.7,1964
111,1964-10-01,11.01,1964
112,1964-11-01,9.62,1964
113,1964-12-01,8.8,1964
114,1965-01-01,8.75,1965
115,1965-02-01,7.1,1965
116,1965-03-01,6.16,1965
117,1965-04-01,5.57,1965
118,1965-05-01,3.6,1965
119,1965-06-01,3.61,1965
120,1965-07-01,4.57,1965
121,1965-08-01,6.37,1965
122,1965-09-01,8.05,1965
123,1965-10-01,11.23,1965
124,1965-11-01,11.86,1965
125,1965-12-01,14.44,1965
126,1966-01-01,14.3,1966
