Anio,SalarioMinimo,Variacion
1985,13558.0,20.0
1986,16811.0,24.0
1987,20510.0,22.0
1988,25637.0,25.0
1989,32560.0,27.0
1990,41025.0,26.0
1991,51720.0,26.1
1992,65190.0,26.044
1993,81510.0,25.0
1994,98700.0,21.1
1995,118934.0,20.5
1996,142125.0,19.5
1997,172005.0,21.0
1998,203826.0,18.5
1999,236460.0,16.0
2000,260100.0,10.0
2001,286000.0,10.0
2002,309000.0,8.0
2003,332000.0,7.4
2004,358000.0,7.8
2005,381500.0,6.6
2006,408000.0,6.9
2007,433700.0,6.3
2008,461500.0,6.4
2009,496900.0,7.7
2010,515000.0,3.6
2011,535600.0,4.0
2012,566700.0,5.8
2013,589500.0,4.02
2014,616000.0,4.5
2015,644350.0,4.6
2016,689455.0,7.0
2017,737717.0,7.0
2018,781242.0,5.9
2019,828116.0,6.0
2020,877803.0,6.0
2021,908526.0,3.5
