user_id,gender,age_id,occupation_id,cp,occupation,age_range
1,F,1,10,48067,K-12 student,Under 18
1,F,1,10,48067,K-12 student,Under 18
1,F,1,10,48067,K-12 student,Under 18
19,M,1,10,48073,K-12 student,Under 18
19,M,1,10,48073,K-12 student,Under 18
19,M,1,10,48073,K-12 student,Under 18
51,F,1,10,10562,K-12 student,Under 18
51,F,1,10,10562,K-12 student,Under 18
51,F,1,10,10562,K-12 student,Under 18
75,F,1,10,01748,K-12 student,Under 18
75,F,1,10,01748,K-12 student,Under 18
75,F,1,10,01748,K-12 student,Under 18
86,F,1,10,54467,K-12 student,Under 18
86,F,1,10,54467,K-12 student,Under 18
86,F,1,10,54467,K-12 student,Under 18
99,F,1,10,19390,K-12 student,Under 18
99,F,1,10,19390,K-12 student,Under 18
99,F,1,10,19390,K-12 student,Under 18
119,F,1,10,77515,K-12 student,Under 18
119,F,1,10,77515,K-12 student,Under 18
119,F,1,10,77515,K-12 student,Under 18
153,M,1,10,51537,K-12 student,Under 18
153,M,1,10,51537,K-12 student,Under 18
153,M,1,10,51537,K-12 student,Under 18
194,F,1,10,29146,K-12 student,Under 18
194,F,1,10,29146,K-12 student,Under 18
194,F,1,10,29146,K-12 student,Under 18
210,F,1,10,25801,K-12 student,Under 18
210,F,1,10,25801,K-12 student,Under 18
210,F,1,10,25801,K-12 student,Under 18
349,M,1,10,08035,K-12 student,Under 18
349,M,1,10,08035,K-12 student,Under 18
349,M,1,10,08035,K-12 student,Under 18
468,F,1,10,55082,K-12 student,Under 18
468,F,1,10,55082,K-12 student,Under 18
468,F,1,10,55082,K-12 student,Under 18
470,F,1,10,55068,K-12 student,Under 18
470,F,1,10,55068,K-12 student,Under 18
470,F,1,10,55068,K-12 student,Under 18
484,F,1,10,55104,K-12 student,Under 18
484,F,1,10,55104,K-12 student,Under 18
484,F,1,10,55104,K-12 student,Under 18
490,M,1,10,55345,K-12 student,Under 18
490,M,1,10,55345,K-12 student,Under 18
490,M,1,10,55345,K-12 student,Under 18
580,M,1,10,08534,K-12 student,Under 18
580,M,1,10,08534,K-12 student,Under 18
580,M,1,10,08534,K-12 student,Under 18
606,F,1,10,49507,K-12 student,Under 18
606,F,1,10,49507,K-12 student,Under 18
606,F,1,10,49507,K-12 student,Under 18
629,F,1,10,48154,K-12 student,Under 18
629,F,1,10,48154,K-12 student,Under 18
629,F,1,10,48154,K-12 student,Under 18
634,F,1,10,49512,K-12 student,Under 18
634,F,1,10,49512,K-12 student,Under 18
634,F,1,10,49512,K-12 student,Under 18
745,M,1,10,90004,K-12 student,Under 18
745,M,1,10,90004,K-12 student,Under 18
745,M,1,10,90004,K-12 student,Under 18
753,M,1,10,42754,K-12 student,Under 18
753,M,1,10,42754,K-12 student,Under 18
753,M,1,10,42754,K-12 student,Under 18
762,M,1,10,63041,K-12 student,Under 18
762,M,1,10,63041,K-12 student,Under 18
762,M,1,10,63041,K-12 student,Under 18
866,M,1,10,08820,K-12 student,Under 18
866,M,1,10,08820,K-12 student,Under 18
866,M,1,10,08820,K-12 student,Under 18
871,M,1,10,76013,K-12 student,Under 18
871,M,1,10,76013,K-12 student,Under 18
871,M,1,10,76013,K-12 student,Under 18
875,M,1,10,94707,K-12 student,Under 18
875,M,1,10,94707,K-12 student,Under 18
875,M,1,10,94707,K-12 student,Under 18
884,M,1,10,49454,K-12 student,Under 18
884,M,1,10,49454,K-12 student,Under 18
884,M,1,10,49454,K-12 student,Under 18
888,F,1,10,08820,K-12 student,Under 18
888,F,1,10,08820,K-12 student,Under 18
888,F,1,10,08820,K-12 student,Under 18
906,M,1,10,71106,K-12 student,Under 18
906,M,1,10,71106,K-12 student,Under 18
906,M,1,10,71106,K-12 student,Under 18
926,M,1,10,07869,K-12 student,Under 18
926,M,1,10,07869,K-12 student,Under 18
926,M,1,10,07869,K-12 student,Under 18
940,M,1,10,76240,K-12 student,Under 18
940,M,1,10,76240,K-12 student,Under 18
